epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
43,69.58435,3925.71698,1.09048,0.06803519,6.545e-05,558693.0,0.06762,0.97787,0.80807,0.53653,0.64488,0.96726,3.1518,0.08572923,0.0,558693.0,0.02443,0.98055,0.5122,0.25926,0.34426,0.80915,3.17025,0.15083105,0.0,558693.0,0.02458,0.97034,0.57692,0.23077,0.32967,0.77305,True,1.032,0.968,1.1033,0.8967,1.0927,0.9073,1.0994,0.9006,1.1009,0.8991,1.0446,0.9555,1.101,0.899,1.089,0.911,1.0643,0.9357,1.0342,0.9658
37,78.27131,5067.64677,1.40768,0.07499018,7.452e-05,558693.0,0.07607,0.97629,0.79275,0.49675,0.61078,0.95596,3.21083,0.08338441,0.0,558693.0,0.02489,0.98055,0.5122,0.25926,0.34426,0.8154,3.11589,0.15413277,0.0,558693.0,0.02415,0.96766,0.47541,0.22308,0.30366,0.77127,True,1.0425,0.9575,1.0607,0.9393,1.1011,0.8989,1.0924,0.9076,1.1117,0.8883,1.0712,0.9288,1.0935,0.9065,1.0267,0.9733,1.0675,0.9325,1.0382,0.9618
22,78.91472,6238.9158,1.73303,0.09369524,9.23e-05,558693.0,0.07669,0.97252,0.74047,0.4099,0.52769,0.90813,3.02989,0.07129943,0.0,558693.0,0.02349,0.98177,0.56818,0.30864,0.4,0.83398,3.02645,0.12229072,0.0,558693.0,0.02346,0.96766,0.46809,0.16923,0.24859,0.78279,True,1.0248,0.9752,1.0391,0.9609,1.047,0.953,1.0566,0.9434,1.0476,0.9524,1.0744,0.9256,1.0518,0.9482,1.0539,0.9461,1.0214,0.9786,1.0331,0.9669
28,85.05357,5102.02491,1.41723,0.08637528,8.622e-05,558693.0,0.08266,0.97426,0.77539,0.43994,0.56137,0.92913,4.01873,0.07739438,0.0,558693.0,0.03115,0.98152,0.55102,0.33333,0.41538,0.82076,3.25608,0.13784518,0.0,558693.0,0.02524,0.96791,0.48214,0.20769,0.29032,0.75461,True,1.0523,0.9477,1.0657,0.9343,1.062,0.938,1.0834,0.9166,1.0694,0.9306,1.0902,0.9098,1.0259,0.9741,1.0818,0.9182,1.0537,0.9463,1.025,0.975
15,64.12677,5540.63833,1.53907,0.10613594,9.729e-05,558693.0,0.06232,0.97,0.71012,0.33604,0.4562,0.86601,3.04178,0.07224587,0.0,558693.0,0.02358,0.98298,0.67742,0.25926,0.375,0.83067,3.02934,0.11399443,0.0,558693.0,0.02348,0.97155,0.76,0.14615,0.24516,0.78653,True,1.0296,0.9704,1.0377,0.9623,1.0301,0.9699,1.0314,0.9686,1.0325,0.9675,1.0428,0.9572,1.0491,0.9509,1.0238,0.9761,1.018,0.982,1.0066,0.9934
28,81.71997,5817.04825,1.61585,0.08791313,8.622e-05,558693.0,0.07942,0.97383,0.76462,0.43506,0.55458,0.92587,3.19282,0.07707055,0.0,558693.0,0.02475,0.98079,0.52,0.32099,0.39695,0.83403,3.32788,0.1337184,0.0,558693.0,0.0258,0.96937,0.5303,0.26923,0.35714,0.75574,True,1.0295,0.9705,1.0539,0.9461,1.0452,0.9548,1.0856,0.9145,1.1076,0.8924,1.0393,0.9607,1.037,0.963,1.0549,0.9451,1.0538,0.9462,1.0546,0.9454
23,87.02778,6520.93275,1.81137,0.09243786,9.14e-05,558693.0,0.08458,0.97334,0.77953,0.40179,0.53026,0.90743,3.05408,0.08243905,0.0,558693.0,0.02368,0.97885,0.44828,0.32099,0.3741,0.79976,3.07155,0.12470144,0.0,558693.0,0.02381,0.96596,0.44048,0.28462,0.34579,0.77703,True,1.0285,0.9715,1.0718,0.9282,1.0718,0.9282,1.0958,0.9042,1.0459,0.9541,1.0565,0.9435,1.0498,0.9502,1.0404,0.9596,1.034,0.966,1.0326,0.9674
20,62.32992,5313.8091,1.47606,0.09659252,9.397e-05,558693.0,0.06057,0.97185,0.73252,0.39123,0.51005,0.89952,3.03704,0.0747112,0.0,558693.0,0.02354,0.98371,0.69444,0.30864,0.42735,0.80991,3.03402,0.12118476,0.0,558693.0,0.02352,0.97155,0.61818,0.26154,0.36757,0.77593,True,1.0237,0.9763,1.0669,0.9331,1.0539,0.9461,1.0408,0.9592,1.0596,0.9404,1.0504,0.9496,1.0218,0.9782,1.018,0.982,1.0211,0.9789,1.0087,0.9913
39,78.19628,4785.58587,1.32933,0.07081774,7.159e-05,558693.0,0.07599,0.97702,0.7975,0.51786,0.62795,0.96069,3.00672,0.09782173,0.0,558693.0,0.02331,0.97374,0.33333,0.33333,0.33333,0.81309,3.00256,0.1707574,0.0,558693.0,0.02328,0.95624,0.29167,0.26923,0.28,0.77041,True,1.0288,0.9712,1.0673,0.9327,1.1055,0.8945,1.0979,0.9021,1.1582,0.8418,1.0648,0.9352,1.1324,0.8676,1.0737,0.9263,1.0669,0.9331,1.0465,0.9535
76,70.97091,1643.21807,0.45645,0.04485316,1.494e-05,558693.0,0.06897,0.98438,0.84922,0.7086,0.77257,0.9888,3.05541,0.11434107,0.0,558693.0,0.02369,0.97496,0.36905,0.38272,0.37576,0.79972,3.07067,0.21527319,0.0,558693.0,0.0238,0.96013,0.35345,0.31538,0.33333,0.77201,True,1.0325,0.9675,1.0925,0.9075,1.1351,0.8649,1.1877,0.8123,1.144,0.856,1.0929,0.9071,1.1143,0.8857,1.0969,0.9031,1.091,0.909,1.0127,0.9873
mean,75.619558,4995.553683,1.387655,0.082184624,7.738999999999999e-05,558693.0,0.073489,0.975136,0.775019,0.46737,0.5796330000000001,0.9308799999999999,3.1799100000000005,0.08364369199999999,0.0,558693.0,0.024651,0.979942,0.518612,0.308642,0.37863900000000006,0.816647,3.1104689999999993,0.144472934,0.0,558693.0,0.024112,0.9668369999999997,0.49966399999999994,0.23769200000000001,0.31012300000000004,0.771937,1.0,1.0324200000000003,0.9675799999999999,1.06589,0.9341100000000002,1.0744399999999998,0.9255600000000002,1.0871,0.9129100000000001,1.08774,0.9122600000000001,1.06271,0.9373000000000001,1.06766,0.93234,1.0559100000000001,0.9440800000000001,1.04917,0.9508300000000002,1.02922,0.9707800000000001
std,8.482824698198906,1390.0164831009124,0.38611547145179825,0.01777658971292313,2.433533188139783e-05,0.0,0.008246015131901928,0.004048673856956138,0.04049450619802916,0.10479195781271682,0.08879500912526309,0.037242549441316324,0.3034720979669208,0.01330644913015807,0.0,0.0,0.002351044448750385,0.003252263485294145,0.11612813189652961,0.0398988119566931,0.03157551422999931,0.012925669593659156,0.10867986591105291,0.03046147921755687,0.0,0.0,0.0008431396351995581,0.004985169227039561,0.13281690715668193,0.05273013934701439,0.04352696075103593,0.010215535065118546,0.0,0.008667025633591568,0.008667025633591561,0.020625359256130408,0.02062535925613041,0.03307587909304569,0.03307587909304569,0.043056087451911675,0.043056486154817615,0.043221604679964234,0.0432216046799643,0.01927217049414924,0.019282634674753343,0.03922567753115016,0.03922567753115013,0.02853646594953358,0.028523978217165517,0.024566827226974168,0.02456682722697417,0.01597955638377433,0.015979556383774282
